Date,Result,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2019-01-02,0,Former Blackwater guard convicted for 2007 massacre of civilians in Baghdad | World news,Chinese Navy ship seen carrying a railgun capable of firing hypersonic projectiles - The sighting appears to pre-date US intelligence estimates that Chinese railguns would arrive by 2025.,Mexican mayor gunned down after being sworn in,Italian health czar resigns over government's 'anti-scientific positions',Average 10-year-old has eaten 18 years' worth of sugar - Public Health England launches campaign to persuade parents to reduce sugar in their children’s diets,"Brazil’s newly inaugurated President Jair Bolsonaro has issued an executive order saying that the ministry of agriculture will be responsible for indigenous land in a victory for agribusiness that is likely to enrage environmentalists, according to the official gazette on Wednesday.",A '620km human chain' — Indian Women Rally for Equality,"Hours after taking office, Brazil’s new president, Jair Bolsonaro, has launched an assault on environmental and Amazon protections with an executive order transferring the regulation and creation of new indigenous reserves to the agriculture ministry – controlled by the powerful agribusiness lobby.",CIA-managed forces in Afghanistan are reportedly conducting ‘torture and killings with near impunity’,"UK Shoppers have earned more than £30,000 by recycling plastic bottles in the first supermarket trial of reverse vending machines. The scheme, piloted by Iceland, rewards people with a voucher worth 10p for every deposit of a bottle bought at the shop.","Almost a third of new cars sold in Norway last year were pure electric, a new world record as the country strives to end sales of fossil-fueled vehicles by 2025","Xi Jinping says Taiwan ""must and will be"" reunited with China","Abused Korean girl’ statue removed after Japan protest - The statue of a young woman has been removed following a protest from the Japanese Embassy in Manila, which considered it a memorial to comfort women, the sex slaves forced to serve Japanese invading forces in World War II.",Ukrainian Embassy calls out CNN for calling the capital of Crimea a part of Russia,"Taiwan's President Tsai Ing-wen said on Wednesday the island would not accept a ""one country, two systems"" political arrangement with China, while stressing all cross-strait negotiations needed to be on a government-to-government basis.","Indian women enter Hindu temple, defying centuries-old ban",Deadly train crash on Danish bridge,Vietnam criticised for 'totalitarian' law banning online criticism of government,Trump signs pro-Taiwan 'Asia Reassurance Initiative Act' into law,Bill Gates' nuclear venture hits snag amid U.S. restrictions on China deals,Russian Billionaire Demolishes Trump's Former $95M Palm Beach Mansion,"Tens of thousands of people gathered in Tokyo for Emperor Akihito’s final new year appearance of his reign months before he abdicates. “I am truly happy to celebrate the new year with all of you under such cloudless skies,” he told the crowd from a balcony at the Imperial Palace on Wednesday.",Hundreds of thousands of women have formed a 620km-long human chain across a southern Indian state in support of a court order overturning a partial ban on women entering one of Hinduism’s holiest temples.,Netflix Drops Hasan Minhaj Episode In Saudi Arabia At Government's Request,Nasa's New Horizons: 'Snowman' shape of distant Ultima Thule revealed
2019-01-03,1,"Hasan Minhaj responds after Netflix pulls episode of his comedy show in Saudi Arabia - “Clearly, the best way to stop people from watching something is to ban it, make it trend online, and then leave it up on Youtube.”",Google shifted $23 billion to tax haven Bermuda in 2017,Saudi Arabia opens Khashoggi murder trial,"U.S. President Donald Trump on Wednesday mocked Indian Prime Minister Narendra Modi for funding a library in Afghanistan, suggesting it was of no use.",Israeli official 'in shock' as Trump says Iran 'can do what they want' in Syria,US government warns Americans that China may not let you come home,Bolivia Rolls Out Universal Health Care To 5.8M Uninsured,Maggi ban: Nestle admits presence of lead in popular noodles brand during SC hearing in India,It looks a lot like North Korea’s ambassador to Italy has defected,First women to enter India temple in centuries now in hiding as protests rage,N Korea ambassador to Italy 'disappears',Mexico finds Flayed god temple; priests wore skins of dead,Lesbian couple to wed 26 times abroad to seek change in Japan,"Video games sector now accounts for more than half of entertainment market. The Entertainment Retailers Association said gaming market's value rose to £3.864bn, more than double what it was worth in 2007. It now makes gaming larger market than video and music combined for first time.","Investigators have uncovered another illicit toxic dump in Melbourne’s north, the eighth property involved in what authorities have called ""highly co-ordinated ... highly organised illegal activity” in the hazardous waste industry.",India reminds U.S. that it sends soldiers abroad only for UN Peacekeeping Operations,"Two gay men mount first legal challenges to Hong Kong laws banning same-sex marriage, with court giving their applications green light to proceed: University student, 21, and activist, 31, argue in High Court that lack of options for same-sex couples to marry violate right to equality.",Stabbings at Sydney Scientology centre leave one man dead,Google shifted $23 billion to tax haven Bermuda in 2017,"The president of Italy's national health research organisation on Wednesday said he had been driven to resign due the ""anti-scientific"" policies of the country's populist government including efforts to undermine confidence in vital vaccinations.",Trump says he could be 'most popular person in Europe’ and 'run for any office',"Cargo Ship Carrying 3,500 Nissan Cars Ablaze and Adrift in the Pacific Ocean",Berlin nightclubs are turning into overnight shelters for homeless people,"Mexican experts have found the first temple of the Flayed Lord, a pre-Hispanic fertility god depicted as a skinned human corpse, authorities said Wednesday",Russia Announces Plans To Set Up Its First Ever Military Base In The Caribbean
2019-01-04,1,"Workers at Amazon’s biggest warehouse in Spain started a two-day strike on Thursday just ahead of a gift-giving feast day, as part of a long-running campaign for better pay and conditions.",Trump defends Soviet Union's 1979 invasion of Afghanistan,"Navy SEAL To Plead Not Guilty To War Crimes - “Prosecutors say the Navy SEAL fired indiscriminately into Iraqi crowds. They say he shot an elderly man carting a water jug in Mosul, as well as a girl walking along a riverbank there”","Since Huawei executive's arrest, 13 Canadians have been detained in China","Renewable energy became Germany's dominant source of electricity in 2018, beating coal for the first time in history","Egyptian President Tells 60 Minutes He Collaborates with Israel Against ISIS, Then Begs to Kill the Broadcast",Germans happiest to pay taxes to fund infrastructure - A new study has found that many Germans think that there is widespread acceptance for financing government spending through taxes. People in Brazil and Montenegro are far more skeptical about their fellow citizens.,"Hackers have released confidential data linked to Chancellor Angela Merkel and hundreds of other politicians in Germany in biggest data dump of its kind in the country. The information includes email addresses, mobile phone numbers, photos of IDs and personal chat histories.",China's population shrinks for first time in 70 years despite two-child policy,"One of the most senior German figures in the Catholic Church has controversially denied that sexual abuse was a problem in the Catholic Church, saying that the problem was caused by gay men rather than catholic priests.","Mexican President Andres Manuel Lopez Obrador has published a financial disclosure form that reveals relatively few possessions — and the fact that his wife makes more than he does after he cut his own pay to about $65,000 per year","UK health body calls for Copenhagen-style bike-friendly streets - The streets of Britain could start to look like those of Copenhagen, where cycling is prioritised over cars, if local authorities act on new official health guidance.",A suspected case of Ebola has been reported at a hospital in Sweden,"The bosses of the UK’s biggest companies are facing renewed scrutiny over excessive pay deals, after new figures showed top executives earned the average worker’s annual salary within the first three working days of 2019.","Venezuela's Hyperinflation Hits 80,000% Per Year in 2018",Former Philippine mayor killed hours after President Duterte threatens to slit throats of big-time drug dealers,Kuwait rejected to co-host the 2022 FIFA World Cup in Qatar because it didn't want to grant visas to Israelis nor grant alcohol permits,Trump curiously well versed in specific Russian talking points,Pope Francis’ Argentinean Protegé Accused of Sex Abuse,'Mass hack attack' on German politicians,"A German far-right party, the NPD, has threatened to mount street patrols to ""protect"" areas where it claims the police are not doing enough to stop crime by asylum-seekers.",Explosion outside AfD office in eastern Germany,Brazil's Bolsonaro begins starts firing 'left-wing' public servants,"Heatwave conditions predicted to affect Australia's southeast coast could be 'deadly', with Australian authorities imposing 'total fire bans' in the state of Victoria","Brazilian President Jair Bolsonaro—whose inauguration on New Year's Day was lauded by U.S. President Donald Trump—wasted no time Wednesday introducing policies targeting the environment, indigenous Brazilians, the LGBTQ community, and other marginalized populations."
2019-01-07,0,"Former Venezuela Supreme Court judge flees to U.S., denounces Maduro","White House national security adviser John Bolton added a new condition on Sunday to the U.S. withdrawal from Syria, saying Turkey must agree to protect the United States’ Kurdish allies.","World Bank president resigns, paving the way for a Trump appointee at the helm of this global lender",Military Coup Underway in Gabon,South Africa to roll-out computer coding and robotics classes for all foundation-phase pupils from grades 1 to 3 as part of education system overhaul,Israeli Teenagers Are Suspected in Deadly Stoning of a Palestinian Woman,Husband of Palestinian woman killed in Israeli stoning seeks justice to stop next attack,Blackwater founder Erik Prince says Mueller asked about meeting Russian Putin pal in Seychelles: 'You probably would rather go to a proctology exam',Unveiling of Trump's much-anticipated Israeli-Palestinian peace plan to be delayed by months,Rights group urges Thailand not to return Saudi woman fleeing family,Assets worth 800 billion pounds to shift from UK to EU due to Brexit - EY,Belgium bans kosher and halal animal slaughtering methods,‘No different from my original statements’: Trump denies changes to Syria exit plan,Brazil's indigenous people fight back against Bolsonaro's attacks on Amazon,"Australia Beaches Shut Down After Over 2,600 People Stung by Jellyfish",Denmark plans 'Silicon Valley' on 9 artificial islands off Copenhagen,"Belgium Bans Religious Slaughtering Practices, Drawing Praise and Protest",France : Cardinal accused of pedophile cover-up says Vatican told him to 'avoid a scandal',Dad wins $447k payout after wife lied about paternity of their three kids,Report: Nearly all terror attacks in France carried out by radicals already known to police,Thailand halts plan to expel Saudi teen barricaded in her hotel room,$1 trillion is leaving Britain because of Brexit,The RCMP is planning ‘an act of war’ to remove Indigenous protesters from blocking construction of a natural gas pipeline in their own territory in northwestern B.C.,Global warming of oceans is equivalent to an atomic bomb per second - for the last 150 years: study,"Britons would now vote to stay in EU, want second referendum - YouGov poll"
2019-01-08,1,"Canada helped pressure Thailand to protect Saudi woman, says Human Rights Watch","Bill Gates warns that nobody is paying attention to gene editing, a new technology that could make inequality even worse",Manafort accused by Mueller of sharing 2016 polling data with Russian linked to Moscow intelligence,Rwanda bans skin bleaching products from shops countrywide,Abused and disadvantaged women have become Zimbabwe's hidden weapon against poachers who kill elephants and rhinos for their tusks and horns. The Akashinga squad is Zimbabwe's first all-female anti-poaching team that has quickly earned a top reputation as sharpshooters,Trump administration downgrades diplomatic status of EU delegation to US without notice,Carbon emissions up as Trump agenda rolls back climate change work - Last year’s 3.4% jump in emissions is the largest since 2010 recession and second largest gain in more than two decades,The Supreme Court on Tuesday afternoon denied a request to block a grand jury subpoena in a mystery case that is thought to be tied to special counsel Robert Mueller’s investigation into Russian meddling in the 2016 presidential election and possible collusion with the Trump campaign,Russian lawyer at Trump Tower meeting charged in separate case,"64-metre 'fatberg' discovered in English seaside resort - Eight weeks needed to remove mass of fat, oil & wet-wipes from sewer in Sidmouth, Devon","Lonely George the tree snail dies, and a species goes extinct","Brexit will slice nearly one-fifth off the value of Britain’s commercial farms according to forecasters, bringing to an end the decades-long boom in agricultural land prices as EU subsidies are withdrawn.","Silent, water-emitting trains fuelled by hydrogen ‘to be introduced to UK railways in two years’ - Upgrading existing rolling stock means diesel can be phased out without costly electrification of railways",Knifeman stabs 20 children in attack at primary school in China's capital Beijing,Heathrow departures stopped as drone reported,"Nearly as many Germans feel threatened by the United States as they do by Russia, while less than half feel North Korea is a danger, according to a new poll.",AIVD (Dutch intelligence) say Iran are behind two murders in the Netherlands,"Turkey's Erdogan shuts down White House's Bolton on Syria, says he made a 'serious mistake'","Gang-rape victim in Meerut, India set ablaze for refusing to ""compromise""","12,000 year old town in Turkey soon to be submerged underwater by dam project",Trump adviser John Bolton to leave Turkey without meeting president,Chinese admiral advocates for preemptive sinking of US aircraft carriers,"One Russian in Four Lacks an Indoor Toilet, One of Many Signs There are Now ‘Four Distinct Russias’ -- According to a new report by Russia’s state statistical agency, Rosstat, 35 million Russians live in houses or apartments without indoor toilets.",Chinese scientist who genetically edited babies under armed guard amid fears he could face death penalty,The monarch butterfly population in California has plummeted 86% in one year
2019-01-09,1,"A Turkish journalist has been sentenced to more than a year in jail for her work on the Paradise Papers investigation into offshore tax havens, because it revealed details of the business activities of the country’s former prime minister and his sons.","Repeated radio signals coming from galaxy 1.5 Billion light years away, scientists have announced",World's biggest tobacco company vows to phase out cigarettes - Philip Morris International - which makes Marlboro and several other leading brands - has vowed to phase out cigarettes and move into smoke-free products instead.,"Mexican President Staying Out Of Wall Debate, Calling It An Internal US Matter","More than 80 per cent of Canadians have negative impressions of China’s authoritarian rulers and more than half believe Canada was right to detain a senior Huawei executive for possible extradition to the United States, a new poll shows.",Temperatures plunge to -23C in Greece as Athens experiences rare snowfall,Saudi woman given refugee status by UN,Israel ex-minister admits spying for Iran,Manafort lied about sharing presidential polling data with Russian linked to intelligence services,"China is allowing more than 2,000 ethnic Kazakhs to abandon their Chinese citizenship and leave the country, the Kazakh foreign ministry has said, in a sign that Beijing may be starting to feel a mounting backlash against its crackdown on Muslims in the far west region of Xinjiang.",Canadian PM Trudeau criticizes Japan over whale hunt,Demonstrations block traffic in support of Indigenous pipeline protesters in B.C.,British PM Theresa May loses vote on no-deal Brexit powers,"Yellow vests: France to crack down on unsanctioned protests - the government would support a ""new law punishing those who do not respect the requirement to declare [protests], those who take part in unauthorised demonstrations and those who arrive at demonstrations wearing face masks"".","Scientists in India have hit out at speakers at a major conference for making irrational claims, including that ancient Hindus invented stem cell research.",Snoozing on the job: Japanese firms tackle epidemic of sleeplessness - Companies offer napping at work as lack of proper rest is estimated to cost economy $138bn a year,"Indian Science Congress Speaker Says Newton Was Wrong, Ancient Demon-King Had Planes",Brazil’s Bolsonaro signs order endangering Amazon and indigenous rights,2 women arrested for sexually assaulting a transgender person in a bathroom,"China passes five-year plan to sinicise Islam, as Beijing tightens grip on major faiths in China",European gambling site takes bets on how many times President Trump will lie during his national address...,A 27-year-old New Brunswick man will be sentenced in the spring for leaving his dog to starve to death in a locked home over the course of two months.,Schoolgirls in Kenya to face compulsory tests for pregnancy and FGM: Girls returning to school this week (in Narok County) will be examined at local health facilities as part of a countywide crackdown on FGM,Climate Change: 'Right to repair' gathers force,FBI 'turned El Chapo's IT expert' to bring down drug lord
2019-01-10,1,Trump says he never said that Mexico would directly pay for the wall,Thousands of students skip school to march through Brussels streets pleading for stronger action against climate change.,Donald Trump's team had 100 contacts with Russian-linked officials: report,Waste reduction law could force manufacturers to repair broken goods - ‘Right to repair’ legislation aims to alleviate waste and make products easier to fix,"Michael Cohen, Trump's former lawyer, to testify publicly before Congress",Quebec's labour watchdog seeks $900K from Church of Scientology for underpaying staff,Largest strike in history is taking place in India,China's anti-obesity campaigns emphasizing exercise over dieting sound a lot like those promoted by the soda industry. It turns out they were crafted by a group financed by Coca-Cola and other beverage giants.,"German Parents Have No Right to Homeschool Their Kids, European Rights Court Rules",Taiwan’s indigenous people remind Xi Jinping that it has “never belonged to China”,Police to DNA test all male care home staff after woman in vegetative state has baby,Facebook deal makes it impossible to delete app.,Duterte: Human rights groups are enemies of the gov’t.,"According to residents along the Texas/Mexico border, the real threat is not from immigrants—it’s from the government that wants to steal their property to build a wall",Manafort meant for poll data to go to Ukrainian oligarchs who owed him millions,"Murdered journalists were tracked by police with shadowy Russian links, evidence shows: New evidence shows that three Russian journalists killed in the Central African Republic last year were victims of a well-planned ambush involving a senior police officer with shadowy Russian connections.","Mexico finds 20 bodies, 17 of them burned, near U.S. border",Scientists find massive ancient whale with stomach full of fish and other whales - Bones found with Basilosaurus remains found in Egypt suggest it was a top hunter that took down large prey,"People older than 65 share the most fake news, a new study finds","At this year's annual meeting of the Indian Science Congress, speakers dismissed Albert Einstein's theory of relativity as ""a big blunder"", said Isaac Newton didn't really understand how gravity works, and asserted dinosaurs were created by the Hindu god Brahma.","Russian Official Cancels U.S. Visit, Saying ‘Second American Civil War’ Is Underway","Iran confirmed Wednesday it is holding U.S. Navy veteran Michael R. White at a prison in the country, making him the first American known to be detained under President Donald Trump’s administration",'Kill white babies' rapper faces fine,Nepal woman and children die in banned 'menstruation hut',Hubble Space Telescope's main camera stops working
2019-01-11,0,Filipino President tells Catholic Church to allow its priests to have boyfriends as most of them are gay anyway,Justin Trudeau confirms Canada will grant asylum to 18-year-old Rahaf al-Qunun,"Puerto Rican Officials Livid At Reports Trump May Use Disaster Funds To Pay For Wall - Trump’s actions are an “egotistical response of a man who gets his way or brings everyone down,” San Juan Mayor Carmen Yulín Cruz said.","Saudi teen has been granted asylum in Australia, Thai official says",Retailers are slashing iPhone prices across China as consumers say the phones aren't worth the cost,"The NYPD is using Chinese facial recognition technology that is identical to Sky Net, the system used in several Chinese cities",Russians Indicted by Mueller Linked to Murder of Journalists in Central African Republic,Oral-B Glide floss tied to toxic PFAS chemicals,Judge Smacks Down Alleged Russian Troll Farm’s Attempt to Force Sensitive Info Out of Mueller,"Ocean Warming Is Accelerating Faster Than Thought, New Research Finds| A new analysis, published Thursday in the journal Science, found that the oceans are heating up 40 percent faster on average than a United Nations panel estimated five years ago",‘Record number’ of human rights defenders killed in 2018,Ivanka Trump floated as possible world bank president.,Atheism grows in Turkey as Recep Tayyip Erdogan urges Islam,"Three journalists murdered in the Central African Republic in July were being accompanied by a driver connected to the secretive Russian mercenaries they were investigating, a report has found, calling into doubt Moscow's official explanation that they were shot in a robbery.",Amazon Dash Buttons Ruled Illegal in Germany - Amazon’s connected tokens of capitalism have been outlawed in Germany.,"'Irish history is moving rapidly': backlash to abortion law fails to emerge - Besides a fleeting protest in Galway, abortion has become available in 22 of Ireland’s 26 counties with barely a fuss",Yellow Vest protesters call for run on French banks - Yellow Vest protesters have urged supporters to withdraw their money from French banks en masse on Friday in a deliberate attempt to disrupt “the system”,Saudi teen fleeing from family heading to Canada to seek refuge: Thai official,"More than half a billion pounds of UK council workers’ pension money has been directly invested by local authorities in arms companies implicated in Saudi Arabia’s military campaign in Yemen, in which thousands of civilians have been killed.","Chechnya launches new gay 'purge', reports say",Mnuchin Tells Democrats to Just “Trust” Trump on Russia,Saudi Arabia’s ‘Jerry Seinfeld’ and activist partner disappear,Huawei sales director arrested in Poland over spying allegations,"President Trump says he has an ""absolute right"" to declare a national emergency at the border",One million fish die in Australia's Darling River
2019-01-14,1,"Mueller draft report says Trump ""helped Putin destabilize the United States,"" Watergate journalist says","Reports: 2 killed, 40 detained in new gay purge in Chechnya",Antarctica is losing ice 6 times faster today than in 1980s,Stabbed Polish mayor dies in hospital,"Brazil's new environment minister has called Gisele Bünchen a ""bad Brazilian"" for speaking out about attempts to roll back protection of the Amazon rainforest","Domino’s, Nando’s, KFC and other fast food giants forcing misery and pain on billions of chickens behind closed doors, global study says",China orders death sentence for Canadian tourist amid tension over Canada's detention of Huawei executive,Transcripts detail how FBI debated whether Trump was 'following directions' of Russia,"Nicotine found in 'nicotine-free' e-cigarette liquids sold in Australia, study finds","A Czech pensioner has been jailed for terrorism offences which he tried to stage as jihadist attacks. The far-right sympathiser cut down trees to block railway lines and left messages at the scene proclaiming ""Allahu Akbar""",Polish mayor Pawel Adamowicz dies after stabbing at charity event in Gdansk,Pollution in Thailand so bad government seeds clouds in attempt to create rain,"UK Dept of Welfare/Pensions has admitted 21,000 people died waiting for benefits",'McJesus' sculpture sparks outrage among Israel's Christians,Junior doctors strike for 48 hours in New Zealand: Thousands of surgeries deferred as 3300 staff walk off job nationwide,"2 Tortured to Death in New Anti-Gay Purge in Chechnya, Activist Says",Witnesses: Men in police garb massacred civilians in Haiti,"Sister of jailed female activist appeals to Pompeo on eve of Saudi trip. In her piece, al-Hathloul writes that her detained sister says she was “held in solitary confinement, beaten, waterboarded, given electric shocks, sexually harassed and threatened with rape and murder.”",Eastern puma officially declared extinct - because of humans.,"For first time, scientists may have seen birth of a black hole",China CRACKS DOWN on Christianity: Xi Jinping shuts churches and jails pastors,Destroy ‘period huts’ or forget state support: Nepal moves to end practice | Global development,Gene-editing tool CRISPR repurposed to develop better antibiotics,Family calls Canadian's death sentence in China 'horrific' as Trudeau accuses China of 'acting arbitrarily' in drug-smuggling case,Doctors fight to save Polish mayor stabbed in heart on stage
2019-01-15,1,May's Brexit Deal Defeated 202-432,Trump Repeatedly Discussed Withdrawing U.S. From NATO: NYT,"Jared Kushner Told Donald Trump That Firing Comey and Flynn Would Help End Russia Probe, Chris Christie Says",Canadians Spent $1.6 Billion on Legal Weed in 2018,"The Oceans Are Warming Fast, and Our Lives Are About to Change | A paper published in the journal Science shows that the Earth’s oceans are warming at a rate that’s about 40 percent faster than indicated in the 2013 U.N. Intergovernmental Panel on Climate Change report",McDonald's loses Big Mac trademark in the EU after legal battle with Irish chain,Ivanka Trump to help select candidate to lead World Bank,A senator from Italy’s far-right League has been given an 18-month prison sentence for likening the country’s first black minister to an orangutan.,"In plagiarized manifesto, Nigeria's ruling APC party pledges to 'keep America safe'","Explosions and gunfire reported around hotel complex in Kenyan capital, Nairobi",CNN’s Jake Tapper Details Astounding List Of Trump’s Troubling Connections To Russia,Brexit vote: Jeremy Corbyn tables vote of no confidence after May suffers historic defeat,Australia Becomes First Western Nation to Ban Secure Encryption,Russia Says Ukraine May No Longer Be a Country Soon,"A French court on Tuesday struck down market approval for the controversial weed-killer Roundup, saying regulators had failed to take safety concerns into account when clearing the widely used herbicide. Roundup, contains glyphosate which critics have long believed causes cancer","Electric Cars Are Cleaner Even When Powered by Coal: “When an internal combustion vehicle rolls off the line its emissions per km are set, but for an EV they keep falling every year as the grid gets cleaner”",Belarusian escort who said she had information on Russian election interference will be deported from Thailand,Astronomers speak out against a Russian startup that wants to fill the night sky with orbiting billboards.,"Surge in oil and gas companies using injunctions to block protesters at UK sites - Local activists face fines and imprisonment if they breach ‘vague, unclear and confusing’ rules at fossil-fuel drilling locations",Australia extreme heatwave: 'code red' issued as Port Augusta hits 48.9C,Twenty one year-old South Korea double Olympic gold medallist Shim Suk-hee has accused her former coach of sexual abuse starting when she was 17,Woman suing R. Kelly for sexual battery accuses his team of threatening her with 'private photos',"Coins in Trevi Fountain will go to Rome city council rather than Church charity - The proposed changes, reportedly approved by the council at the end of December, have provoked a backlash from the Catholic Church.","Mueller Probes an Event With Nunes, Flynn, and Foreign Officials at Trump’s D.C. Hotel",Saudi teen who fled her family and risked her life says she had nothing to lose
