,Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
0,2020-01-01,"More than 1 million in Hong Kong New Year's Day march, organisers say as protest is cut short amid violence",The United Kingdom exits the European Union,Taiwan Leader Rejects China's Offer to Unify Under Hong Kong Model | Reuters,"Single-use plastic ban enters into effect in France: Plastic plates, cups, cutlery, drinking straws all fall under the ban, as do cotton buds used for cleaning and hygiene.","An artificial intelligence program has been developed that is better at spotting breast cancer in mammograms than expert radiologists. The AI outperformed the specialists by detecting cancers that the radiologists missed in the images, while ignoring features they falsely flagged",Senate vote 51-49 against witnesses,"Pope Francis apologized on Wednesday for having angrily slapped a woman's arm when she had grabbed hold of his hand and yanked him towards her, saying he had lost his patience and set a ""bad example"".","Australia fires create plume of smoke wider than Europe as humanitarian crisis looms. People queue for hours for food with temperatures forecast to rise to danger levels again, in scenes likened to a war zone.",Australian PM says there’s ‘no better place to raise kids’ as deadly wildfires burn,Australia's bushfire smoke spreads to NZ as Canberra's air quality is more than 21 times the hazardous rating,"Former Nigerian governor on trial for fraud, allowed to take trip to seek medical treatment abroad. Instead, caught on video salsa dancing on cruise ship","Chilean Photojournalist's Body Found ""Stabbed and Beaten"" and Camera Stolen After Photographing Anti-Government Protests","As the death toll in the Australian bushfire crisis rises and exhausted crews prepare for worse conditions this weekend, the Prime Minister hosts the cricket team at his house for lunch.",Ethiopia: 6 kidnapped children killed after families fail to pay ransoms,Queensland government was warned about risks of Chinese company's water extraction. Exclusive: Concerns about groundwater security at Cherrabah overridden by Campbell Newman’s government,China starts 10-year fishing ban on Yangtze River,"750 soldiers with 82nd Airborne headed for CENTCOM, additional 4,000 troops expected to deploy as Iran tensions mount",Pope Francis equates violence against women to profaning God,"Canada back in world's top 10 economies, with room to grow: report","'Resist tyranny, join a union': Huge turnout as Hongkongers hit the streets for New Year's Day protest",Palau is first country to ban 'toxic' sun cream,"Sweden shuts down nuclear reactor after over 40 years of operation, with operators citing a lack of profitability and rising maintenance costs.",Indonesia rejects China's claims over South China Sea,"Carlos Ghosn: Ex-Nissan boss escaped Japan in 'musical instrument case' while awaiting trial — The boss's wife is alleged to have helped plan the escape carried out by paramilitary-style group, according to the Lebanese news channel MTV. The channel said members disguised themselves as a music band.","Coalition was hesitant to take action on climate change 20 years ago too, cabinet papers show: Australia's Howard government did not want to commit at 1997 Kyoto summit to anything it believed could harm Australia’s interests, cabinet papers 1998-99 release shows"
1,2020-01-02,"Outrage and Disgust After 'Serial Killer' Navy SEAL, Pardoned by Trump for War Crimes, Rebrands as Conservative Influencer: In Iraq, Gallagher allegedly committed a number of war crimes, including killing a 15-yr-old. Gallagher was acquitted of all crimes other than posing with the child's body","An Australian zookeeper took home monkeys, pandas, and a tiger in order to keep them safe from bushfires",Australian Prime Minister Scott Morrison heckled and told he's 'Not Welcome' by residents of region devastated by unprecedented fires.,Plastic bags are now banned in Mexico City,Hong Kong Cops Aren’t Sorry For Pepper Spraying A Politician Right In the Face: A police officer tore off a politician's goggles and sprayed him at close range — twice.,ExxonMobil Wishes Australia a 'Fun' New Year as Country Burns in Climate Crisis,Germany cuts fares for long-distance rail travel in response to climate crisis,"The Green New Deal- Study: 'Researchers devised a plan for how 143 countries, which represent 99.7 percent of the world’s carbon emissions, could switch to clean energy. This plan would create nearly 30 million jobs, and it could save millions of lives per year just by reducing pollution.'",World Bank urged to rethink investment in one of Brazil's big beef companies over concerns of illegal cattle farming in the Amazon Rainforest,'Entire Species Are Being Wiped Out': Ecologists Say Half a Billion Animals May Have Been Killed by Australia Wildfires,"More than 100 Uyghur graveyards demolished by Chinese authorities, satellite images show",Taiwan’s top military leader killed in Black Hawk chopper crash,Thousands of tourists have been given less than 48 hours to evacuate fire-ravaged coastal communities as Australia braces for a heatwave Saturday expected to fan deadly bushfires,Nearly Half A Billion Animals Have Died In Australian Bushfires Since September,Norway records warmest ever January day at 19C | The highest temperature of 19C was more than 25C above the monthly average. It also breaks the record for any winter month (December to February) in Scandinavia,Angry Cobargo residents explode at Scott Morrison as PM tours fire-ravaged towns,"The bushfire smoke in Australia has blown across 2200km/ 1370mi of ocean, staining the snow in New Zealand",2019 was Australia's hottest year on record – 1.5C above average temperature,Scott Morrison heckled by angry bushfire survivors in southeast NSW,Unredacted Docs Show Pentagon’s Legal Panic Over Withholding of Ukraine Aid,New South Wales declares a 7-day state of emergency as Australia's deadly bushfires rage,"Prince Andrew’s accuser urges: 'Let's take down the one per cent' | Virginia Roberts Giuffre, who claims she was trafficked to the UK to have sex with Prince Andrew, vowed to make 2020 “a year to be remembered in history” as the investigation into convicted sex offender continues",French citizen dies in US immigration custody,Taiwan passes bill against China influence ahead of elections,President Tsai Ing-wen Calls on Beijing to Treat Taiwan as a Sovereign State
2,2020-01-03,"Trump accused of hypocrisy for ordering the potentially inflammatory killing of a top Iranian general, after a series of tweets emerged from 2011 of him saying former president Obama would start a war with Iran in order to get re-elected",Qasem Soleimani among those killed in Baghdad Airport attack – report,Trump administration briefed Israel on the Suleimani attack before it briefed Congress: report,World leaders largely condemn the deadly US drone strike on Iranian general as a 'dangerous escalation' while the UN calls the move 'likely unlawful',Firefighter refuses to shake Prime Minister Scott Morrison’s hand in Cobargo,The UK government warns Trump that war with Iran is 'in none of our interests',Iranian general says U.S. should leave Middle East or start sending coffins for American troops,The US Didn't Warn Britain Or Its Other European Allies Ahead Of The Planned Airstrike To Kill Iran's Top Military Commander,"US to deploy 3,500 additional troops to the Middle East after killing of Iranian general","Iraq’s Parliament vows to eliminate the US presence in Iraq. Iraq’s deputy parliament speaker says they’ll hold an emergency meeting & make ""decisive decisions that put an end to US presence inside Iraq""","Hundreds of Thousands of Iranians Flood Streets to Condemn US Assassination of Qassem Soleimani | The massive rallies discredited U.S. Secretary of State Mike Pompeo's claim that the people of Iran would ""view the American action last night as giving them freedom.""",Iran to take international legal measures against U.S. for Soleimani's killing,‘He turned his back on me’: Cobargo woman forced to shake PM’s hand lost everything in fires | Prime minister Scott Morrison says he talked to the woman about funds for fire service but video shows him ignoring her and walking away after she starts asking questions,Iran says US crossed 'red lines' by assassinating Qassem Soleimani,"Australia’s PM Morrison called an “idiot”, jeered by angry bushfire victims","Sanders Condemns Trump for Putting US on Path to 'Another Disastrous War in the Middle East': ""Trump promised to end endless wars, but this action puts us on the path to another one,"" says Sanders of Trump's order to assassinate top Iranian military leader Qasem Soleimani.",U.S. embassy urges citizens to depart Iraq immediately,"The Amazon Rainforest Is About To Cross An Irreversible Threshold That Will Turn It Into A Savanna, Top Scientists Say","Iraqi PM condemns US ‘assassination’ of Iran’s Soleimani, al-Muhandis. The strike also violated the conditions of US military presence in Iraq and should be met with legislation that safeguards Iraq’s security and sovereignty, he added. He called on parliament to convene in an extraordinary session.",Denmark sets record by sourcing nearly half its power from wind energy. Over 47 per cent of energy was generated by wind turbines in 2019.,United Nations chief's spokesman after US strike: 'The world cannot afford another war in the Gulf',Amazon threatens to fire employees who speak out on climate change,Iran State TV Cuts Broadcasts — And is Just Showing Photos of Assassinated General Qasem Soleimani,Pompeo says Trump made the world safer by killing top Iranian general Soleimani as the State Department tells Americans to flee Iraq.,The Australian: Murdoch-owned newspaper accused of downplaying bushfires in favour of picnic races
3,2020-01-04,"Protesters break into PM Scott Morrison’s home and vow to ‘s*** in his pool’ over wildfire outrage | ""The police say 'the accused does not appear to feel any remorse for his crimes, and in fact appears to be quite proud of his actions'. And never, never, have the police so accurately described me.""","Fresh Cambridge Analytica leak ‘shows global manipulation is out of control’ – Company’s work in 68 countries laid bare with release of more than 100,000 documents","Scott Morrison railed against environmental protesters on Friday, warning of a “new breed of radical activism” that was “apocalyptic in tone” and pledging to outlaw boycott campaigns that he argued could hurt the country’s mining industry.","Iranian commander killed in airstrike taunted Trump in a 2018 speech, calling him a 'bartender' and 'casino manager'",Boris Johnson’s silence on Suleimani assassination is ‘deafening’ say critics,Iran threatens 35 targets including US warships and Tel Aviv after Soleimani's death while Hezbollah issue ultimatum for Iraqi's to leave US bases by Sunday and the White House says it expects an attack,Elderly woman dies after stepping off a plane in Australia's capital due to smoke from wildfires,The Australian bushfires are on the front page of newspapers all around the world - but not in Australia.,"Trump may have miscalculated and 'dangerous' killing of Iran's Soleimani could trigger war, says former UK foreign secretary - Jeremy Hunt warns of 'dangerous game of chicken' in Middle East - calling assassination of general 'extreme'",Iran tells U.N. it reserves right to self-defense over Soleimani killing,Australian comedian raises over $5 million to fight bushfires in under 24 hours.,"Attorney Who Sued Bush Over Iraq War Says US Assassination of Soleimani Was a 'Violation of Human Rights Law' | ""As a permanent member of the U.N. Security Council, the United States has the ability at any time to discuss threats against it. It has chosen not to do this ...""","Citizenship Amendment Bill: Indian Police Shot And Killed Muslims Who Weren't Even Protesting, Says Activist Kavita Krishnan",Pence incorrectly links Iran to 9/11 while trying to justify America's assassination of the country's top general,US arms companies see stocks soar after Soleimani assassination as analysts predict Iran conflict - Killing of top Iranian commander sparks fears of all-out war with America,This is the bombshell Trump's team didn't want revealed: ... the latest US actions in the Middle East in no way diminishes the power of the legal bombshell that just exploded in the US with new evidence of his behavior regarding Ukraine.,"‘Heartbreaking’: 480,000,000 Animals Feared Dead in Aussie Fires",Nigeria launches international appeal to safeguard a herd of around 250 elephants sighted in a warzone area,Explosive report indicates that Donald Trump's loans from Deutsche Bank were backed by Russia,"Russian Underwriter VTB May Have Been Behind Mysterious Donald Trump Deutsche Bank Loans, Per ‘Forensic News’","Google records everything in voice search on iPhone, Android, desktop",US said seeing signs Iran prepping ballistic missiles as Tehran vows revenge,"Scientists just found the crater from a huge asteroid impact that covered 10% of Earth's surface in debris 790,000 years ago. The crater was discovered beneath a plain of hardened lava in southern Laos, and the impact that caused it scattered special rocks, called tektites, from Asia to Antarctica.","Pop singer Pink donates $500,000 to Australian firefighters",Get ready for tens of millions of climate refugees
4,2020-01-05,The United States' main allies are abandoning Trump over his 'dangerous escalation' with Iran,"Hezbollah leader says U.S. military, not citizens should be targeted in retaliatory attacks",Finnish PM calls for a 4-day-week and 6-hour-day,"Thousands Take to Streets in More Than 70 Cities Across US to Protest Trump's | ""Reckless Acts of War"" Against Iran ""The American people have had enough with U.S. wars and are rising up to demand peace with Iran.""","Iranians Flood Twitter With Photos of Favorite Cultural Sites as Trump Threatens Them With Destruction | ""Fastest way to unify Iranians of all walks of life against you is to threaten to destroy their cultural heritage.""","Trump: If Iran attacks, we will attack 52 Iranian targets","Boris Johnson fails to return to work from luxury Caribbean holiday despite looming threat of Iran war, leaving civil servant to chair emergency meetings - Prime minister accused of 'sunning himself, drinking vodka martinis and not paying attention'","Iran condemns Trump as 'terrorist in a suit' after attack threat - Trump said the United States has ""targeted 52 Iranian sites"" and that some were ""at a very high level & important to Iran & the Iranian culture”",Iraqi MPs sign a resolution to expel U.S. troops from Iraq,California firefighters are heading to Australia to battle deadly brushfires on the ground,Iranian state TV reports Iran will no longer abide by any limits of its 2015 nuclear deal.,"Iraqi Prime Minister says he was schedule to meet with Soleimani the morning he was killed: “I was supposed to meet Soleimani at the morning the day he was killed, he came to deliver me a message from Iran responding to the message we delivered from Saudi to Iran”",Random Mar-a-Lago Guests Were Told More About Plan to Kill Soleimani Than Congress: Report,"Entire species may have been wiped out by Australia wildfires- We are seeing kangaroos and koalas with their hands burned off ... It’s been quite emotional,’ says wildlife park owner","Australia wildfires: Disaster escalates to ‘entirely new level’ as angry firefighter vents rage at PM. ‘Go tell the prime minister to get f*****,’ says firefighter",Young Iraqis Aren’t Sad Soleimani Is Dead. But They Worry They’ll Pay the Price: “We want both countries out and don’t want Iraq to be in the middle of this war.”,Iran Sets an 80 Million Dollar Bounty on US President Donald Trump,"3 Americans Dead, 6 Aircraft Destroyed Or Damaged, Including A Rare Spy Plane, In Kenya Attack",Soleimani funeral procession eulogist puts prize on Trump’s head,Trump's latest Iran tweet slammed as threat 'to commit war crimes',Trump uses Twitter to issue ‘legal notice’ he will attack Iran with ‘disproportionate’ force,At least two rockets hit near US embassy in Baghdad,World’s richest 10% produce half of carbon emissions while poorest 3.5 billion account for just a tenth,Russian foreign minister stresses that Soleimani’s killing violates international law - Russian Politics & Diplomacy,Russian and Chinese foreign ministers in a phone call on Saturday described assassination of Lieutenant General Qasem Soleimani as outright violation of the United Nations Charter
5,2020-01-06,"The Trump administration is barring Iran’s top diplomat from entering the United States this week to address the United Nations Security Council about the U.S. assassination of Iran’s top military official in Baghdad, violating the terms of a 1947 headquarters agreement .","Top Iranian Presidential Adviser Says Tehran's 'Sole Problem is Trump,' Not Average American People: ""We have zero problems with the American people. We even achieved deals with previous US administrations. Our sole problem is Trump,"" Ashena said",Iranian presidential adviser posts list of properties owned by Donald Trump in chilling hint of an attack on his real estate empire,Boris Johnson warns Trump that targeting Iranian cultural sites would break international law,Senior US officials say there is widespread opposition within the Trump administration to targeting cultural sites in Iran,"Without Evidence of 'Imminent' Attack on Americans, the White House's Justification for Killing Iranian General Seems Hollow: Reports now suggest that Trump took the unprecedented step of killing a foreign leader based on thin evidence of a threat and with an eye towards domestic politics.",Actor Russell Crowe has used his winner's speech at the Golden Globes to raise awareness of the deadly bushfire crisis in Australia.,Congress rebukes Trump over Iran: ‘You’re not a dictator’,Trump tells Congress to follow him on Twitter for updates on war with Iran,"Erdogan: ""I had called on (U.S. President Donald) Trump to exercise restraint toward Iran in a phone call four or five hours before the strike. We were also shocked upon receiving the news.Killing a high-ranking commander of a country, a state, would not be left unrequited”","Iraqi Parliament Votes to Expel All American Troops and Submit UN Complaint Against US for Violation of Sovereignty: ""What happened was a political assassination. Iraq cannot accept this.""",Israeli PM Netanyahu resigns from all ministerial posts,Pentagon chief of staff resigns amidst growing Iran tensions,Top bosses 'earn average salary within three days',Croatia elects leftist challenger as president,Pompeo and Pence reportedly pushed Trump to kill Soleimani. Pentagon leaders were 'stunned' Trump agreed.,"Trump Says US Will Not Leave Iraq Until Baghdad Pays for American Air Base, Threatens Sanctions against Iraq",Trump says doesn't need Congress's OK for even 'disproportionate' strike,US army preparing to 'move out' of Iraq as fears of Iran strike mount,"Trump Doubles Down on Striking Cultural Sites in Iran | President Donald Trump Insisted That Iranian Cultural Sites Were Fair Game for the U.S. Military, Dismissing Concerns Within His Own Administration That Doing so Would Constitute a War Crime Under International Law.","Sacha Baron Cohen Calls Out ‘Naive, Misguided Child’ Mark Zuckerberg at the Golden Globes",Extinction Rebellion protesters occupy Shell gas rig to stop it heading out to North Sea,UNESCO says U.S. signed treaties not to harm cultural heritage,Thousands march in France over decision to not prosecute Jewish woman’s killer,Germany: Trump's Iraq sanctions threat 'not helpful'
6,2020-01-07,Trump officials are bending over backwards to say he didn't threaten to commit a war crime after he repeatedly threatened to commit a war crime,"Iranian Foreign Minister Says Iran Will Respond ‘Proportionately’ To Soleimani Assassination: “This is an act of aggression against Iran, and it amounts to an armed attack against Iran. But we will respond proportionately - not disproportionately. We are not lawless like President Trump.”","'They Fear Someone Will Go There and Tell the Truth,' Says Iran's Top Diplomat as Trump White House Bars Him From US","Pentagon says will not break law of war, despite Trump threat",Iranian Parliament passes draft bill labelling US military as a terror organisation,Saudi Prince Tweet About Monday Meeting With Trump That White House Never Disclosed: reporters note that the meeting was not on the president’s public schedule and some speculated as to whether the public would have known about the meeting if the Saudi prince had not tweeted about it.,Elton John pledges $1 million to Australian bushfire disaster relief fundraiser,Pompeo again declines to present evidence of 'imminent' threat that led to strike against Iranian general,The United States' allies warn Trump that terrorists 'would be the only winners' of war with Iran,More Than One Billion Animals Killed in Australia Wildfires Called a 'Very Conservative' Estimate,Former US ambassador who was hostage during 1979 Iran crisis said he wants 'nothing to do' with Trump's threats toward Tehran,Bots and trolls spread false arson claims in Australian fires ‘disinformation campaign’,Greta Thunberg dismisses Meat Loaf's claims that she's 'brainwashed': 'It's all about scientific facts',"Australia: More than 10,000 camels to be shot from helicopters because they drink too much water",US Defense Secretary contradicts Trump on targeting Iranian cultural sites: We 'follow the laws of armed conflict','This is war': actor Yael Stone gives up US green card and will now live in Australia to fight climate change: Orange is the New Black star says the air travel needed for a life in two continents is ‘environmentally unjust’,"Iraqi PM says he received the signed US 'withdrawal' letter, while Pentagon claims an unsigned draft version of the letter had been mistakenly sent","Spain forms new goverment, led by socialdemocrat Pedro Sánchez with democratic socialist Iglesias joining as vicepresident, promising to negotiate with independentist parties",Canada pauses military operations in Iraq amid escalating U.S.-Iran tensions,"US Official says Washington anticipating ‘major’ attack by Iran, possibly targeting an American commander; US air force seen readying forces for possible war","The Climate Crisis Is Now Detectable in Every Single Day of Weather Across The Planet | Researchers from Switzerland and Norway now claim to have detected the ""fingerprint"" of climate change in every single day of weather in the global record since 2012.",24 Australians arrested for deliberately setting fires this season,"Filmmaker Michael Moore issues personal appeal to Iran on Trump - ""I have just sent the Ayatollah of Iran a personal appeal asking him not to respond to our assassination of his top general with violence of any kind, but rather let me and millions of Americans fix this peacefully""","Philippine President Rodrigo Duterte’s campaign against illegal drugs has failed to substantially eradicate the menace and ensnare major drug lords and should be reformed to prevent further bloodshed, the country’s vice president said","Pentagon Contradicts Trump, Says U.S. Won't Strike Iran's Cultural Sites"
7,2020-01-08,Multiple rockets hit Taji base in Iraq,Boeing 737 crashes in Iran after take off,Trump Announces to Seek Peace with Iran,Justin Trudeau vows to get answers over Iran plane crash which killed 63 Canadians,Iran plane crash: Ukraine deletes statement attributing disaster to engine failure,"Iran plane crash most likely a ‘shootdown event’, aviation experts say.",U.S. congressional study urges sanctions on China over 'crimes against humanity',Iran threatens to attack inside America if US responds to missile attacks. From CNN’s Artemis Moshtaghian,Iran believed to have deliberately missed U.S. forces in Iraq strikes says sources.,250 Million Workers Take Part in All-India Strike Against Government Policies - The Largest Strike in the History of India,‘No War With Iran’ marches set for Thursday across US,Iran claims 80 American troops killed in missile barrage; US says no casualties,"Trump will not deliver address tonight, White House official says",Iran state TV claims missile launch against U.S. base in Iraq | CBC News,Poll: World skeptical Trump will do right in global affairs,Trump announces sanctions against Iran after attacks,Iraqi prime minister: Trump used diplomatic cover to lure Soleimani to his death,'Everyone's scared' - Puerto Rico declares emergency after earthquakes,"US military: Iran has launched ""more than a dozen ballistic missiles"" to at least two Iraqi military bases hosting US military and coalition personnel at al-Assad and Erbil.","Hong Kong police seized more than 3,700 mobile phones from protesters in space of five months and had devices broken into to read contents, security chief reveals",Iran threatens to attack Dubai and Haifa if country is bombed,Much of Puerto Rico still without power after worst earthquake in a century,"For just the second time, LIGO has detected gravitational waves (ripples in space-time) from the merger of two neutron stars. The neutron stars — which each cram more than the mass of the Sun into a city-sized space — have a combined mass greater than any other pair of neutron stars ever observed.",Canada 'temporarily' moving troops out of Iraq,"Tweet calling for killing of Muslims in India doesn't violate rules, says Twitter"
8,2020-01-09,Pentagon officials and Iraqi intelligence confirm Ukrainian plane was shot down,P.M Morrison Said He's Thankful Nobody Died In Kangaroo Island Bushfire That Killed Two,PM Trudeau says Canada has intelligence from multiple sources that the plane was shot down by an Iranian surface to air missile.,North Korean mother facing jail for saving children from fire instead of portraits of Kim family,"Bushfire protests targeting Scott Morrison to go ahead in Melbourne despite Victoria Police fears of 'resource drain' | Organisers say they are calling for all firefighters to be paid, aid for affected communities, an immediate transition away from fossil fuels, and the sacking of PM Scott Morrison",Ukraine wants to search Iran plane crash site for possible Russia missile debris,Lawmakers tear into Trump over a military briefing they say provided no evidence of the alleged 'imminent threat' from Iran,The unclassified copy of Trump's memo to the Senate informing it of the Soleimani strike shows a huge loophole in his justification -- 'does not indicate that the Iranian general posed an imminent threat to US regional interests',"Without Evidence, Trump Blurts Out US Assassinated Soleimani Because He Was Trying to 'Blow Up Our Embassy'",Deutsche Bank’s loans to Donald Trump were underwritten by Russian state-owned VTB Bank,Iran says it will let Canadian investigators join plane crash probe,Zimbabwe park rangers overpowered by poachers during arrest found drowned in lake,"U.S., Iran both appear to signal desire to avoid further conflict",Mental health crisis looms after seven months of Hong Kong protests,Australian man who lost home to bushfires wins millions on Lotto,Iran plane crash: Ukraine says flight may have been shot down by Russian-made missile after ‘fragments discovered’ near site - Rocket strike ‘among the main working theories’,"Indigenous grandfather, 12-year-old girl handcuffed after trying to open bank account | Victim believes the employee might have been suspicious because he had $30,000 in his account — an amount he and every other member of the Heiltsuk nation received in December from the federal government",Ukraine Flight 752 crash video: New CCTV footage shows final moments of passenger plane,A new virus related to SARS is behind China's mysterious pneumonia outbreak,Facebook refuses to restrict untruthful political ads and micro-targeting - Twitter banned political ads outright in October while Rival Google limits ad targeting to broad categories,Fires in Amazon forest rose 30% in 2019,Greta Thunberg questions newspapers that accept fossil fuel advertising,CIA Director Gina Haspel reportedly pushed for Soleimani's killing and correctly predicted Iran's response,Japanese billionaire giving out $9 million in basic income trial,"Raise taxes on the rich to tackle inequality, IMF says | 'Our research shows that marginal tax rates can be raised without sacrificing economic growth', fund's chief says"
9,2020-01-10,Trump Complains About Not Winning the Nobel Peace Prize Days After Threatening to Commit War Crimes,Trump now says climate change is ‘serious’ and not a ‘hoax’.,House passes resolution to limit Trump's war powers against Iran,Iranian bulldozers clear plane crash site before Ukrainian investigators arrive,Trump reportedly admitted impeachment played a big role in his Soleimani decision,US strike targeting Taliban commander causes 60 civilian casualties,"News Corp employee lashes climate 'misinformation' in bushfire coverage with blistering reply-all email to executive chairman | “I find it unconscionable to continue working for this company, knowing I am contributing to the spread of climate change denial and lies.""",Europe Is a Hard Nope on Helping Trump With Iran: Trump has spent years trashing the U.S.' European allies. Now he wants their help with Iran.,"Jo Daniels, 39, who would lose her vision if there was not enough male blood available to treat her condition, is urging more men to donate. Daniels, from Bristol, has autoimmune disease Sjogren's syndrome. It currently has no cure. She uses a daily eye serum made from male blood to keep her sight.","Brazilian supreme court rules Netflix allowed to show gay Jesus film, reaffirming Brazilians’ right to free speech after judge in Rio de Janeiro ordered the film’s withdrawal",Senegal is constructing West Africa’s largest wind farm that will supply 158MW of electricity to 2 million people,Tens of thousands attend Sydneys CBD to fight the Australian governments denial on climate change.,Trump says he deserves Nobel Peace Prize not Abiy Ahmed,Tens of thousands protest Australian PM's climate policies amid bushfire crisis,"Mike Pompeo admits U.S. did not know where and when Soleimani attacks would happen, despite previously warning of ""imminent threat""",Russian warship 'aggressively approached' US destroyer in Arabian Sea,Indian supreme court suggests that the lifetime generation of oxygen must be factored into the computation of the value of a tree,Iraqi prime minister tells Pompeo to 'prepare a mechanism' for troop withdrawal,"UK ban on US chlorinated chicken 'to continue after Brexit' - Chlorine-washed chicken and hormone-treated beef will be kept out of the UK under any trade deal with the US, the environment secretary has promised.",Internal Boeing messages raise serious questions about 737 Max - Communications from April 2017 show employees saying plane ‘designed by clowns who are supervised by monkeys’,London and NYC Mayors Call on Every Major City in the World to Divest From Climate-Destroying Fossil Fuels,The world trusts Vladimir Putin and Xi Jinping more than Trump,"'Serious concerns' raised over integrity of Iran plane crash site - Experts express shock at Iran’s conduct, amid fears Tehran is trying to destroy evidence","Thousands protest in Australia to ""Sack Scomo"" amid bushfire crisis.",A Blind Refugee With Schizophrenia Was In Detention For The Entire 2010s. He Just Won A Huge Court Case. [Australia]
